release date,title,production budget,domestic budget,worldwide gross,domestic gross,negative,positive
15-Aug-14,Fort McCoy,"$3,000,000","$78,948","$78,948","$78,948",2,0
15-Aug-14,Life After Beth,"$2,400,000","$80,315","$334,491","$88,273",7,44
15-Aug-14,Nightlights,"$250,000","$21,147","$21,147",$0,1,6
22-Aug-14,Sin City: A Dame to Kill For,"$65,000,000","$13,757,804","$40,650,842","$13,757,804",37,38
22-Aug-14,When the Game Stands Tall,"$15,000,000","$30,127,963","$30,138,912","$30,127,963",42,38
22-Aug-14,Freedom,"$14,500,000",$0,"$872,757",$0,4,0
22-Aug-14,If I Stay,"$11,000,000","$50,474,843","$78,356,170","$50,474,843",3,0
27-Aug-14,The November Man,"$15,000,000","$25,018,119","$34,820,335","$25,018,119",27,40
29-Aug-14,"As Above, So Below","$5,000,000","$21,222,315","$41,824,066","$21,321,100",8,6
4-Sep-14,Falcon Rising,"$4,500,000","$11,774","$11,774","$11,774",7,5
5-Sep-14,Frontera,"$2,300,000","$59,696","$59,696","$59,696",19,10
10-Sep-14,My Old Lady,"$5,000,000","$4,011,530","$15,220,308","$4,013,786",7,18
11-Sep-14,The Maze Runner,"$34,000,000","$102,427,862","$348,319,861","$102,427,862",3,10
12-Sep-14,Dolphin Tale 2,"$36,000,000","$42,024,533","$57,824,533","$42,024,533",8,5
